Epoch,Total Loss,Error,Topological loss
1,0.45927190227422887,0.20969157554432302,36.410682860962645
2,0.3102445595278711,0.18255760373469598,20.425317592963488
3,0.3022257846272634,0.17880466553622376,19.412191602284324
4,0.29694903450097865,0.17759281218408823,19.119499400704207
5,0.29097256385637615,0.17600396784122832,18.684219988520272
6,0.28645330560421517,0.17544859995742043,18.958074090009678
7,0.2823514826818854,0.17473038504580538,18.991527511688048
8,0.27717077509014904,0.17393922654097665,18.707939056579225
9,0.2734783270401869,0.17317594730568503,18.943735282578153
10,0.2698545825338649,0.17259178529242555,18.894377245874463
11,0.26590690150589286,0.17149784384730332,18.638007775038304
12,0.26265180708762415,0.1705990599657961,18.846258860148357
13,0.2590246369203408,0.16939080778710142,18.49984507075327
14,0.2567969997842869,0.16874451551608696,18.72156100929854
15,0.25389175322241414,0.16771206250804627,18.732354004226046
16,0.2510267497001294,0.16651777994489955,18.6758561048679
17,0.24884271710932612,0.165496689741483,18.63664206773221
18,0.24643084906532378,0.16434535036186973,18.615833442368192
19,0.2447077768469999,0.163555779678379,18.656868797576355
20,0.2427647642925114,0.16256561919957577,18.650084758233167
21,0.24120120124188726,0.16173229942064798,18.628748385492198
22,0.23999853057418755,0.16087551468503689,18.743510942973064
23,0.23850119417299054,0.160068123729643,18.5844832894331
24,0.2370924387506382,0.15925874164004525,18.60588717888929
25,0.2359244878777487,0.1584732860862138,18.475844046312893
26,0.23513184693045244,0.1580683620211607,18.66745596445963
27,0.2339854299308297,0.15721367834927794,18.505092889248967
28,0.23331000000059962,0.1569726385042339,18.499789106631706
29,0.2324562705384043,0.15643342972515586,18.56774219353042
30,0.23177523322091131,0.15596494988766973,18.527214307271077
31,0.231313446413971,0.15566120443943732,18.599925332440588
32,0.23027789637357174,0.15505951866061388,18.47286610974523
33,0.22968289978846818,0.15468057847308542,18.46994121345931
34,0.22906121620518005,0.15451416801549717,18.515794565577707
35,0.2284970284400586,0.15399865636568583,18.53540169264742
36,0.22835008532344225,0.15397191832879345,18.582621071866885
37,0.22760335985058083,0.15364786652390827,18.4871997147977
38,0.2268751929263155,0.1531688805647239,18.417446262108353
39,0.2268529300561208,0.15326332778273943,18.58013733275636
40,0.22636012732982635,0.1529245609027183,18.55160246637767
41,0.2257410826797257,0.15266777066413514,18.454796014431707
42,0.22502299429413802,0.15225155892486344,18.45393332178721
43,0.22483017353597515,0.15228425037718105,18.419067399944375
44,0.22445285534430406,0.15218549770509412,18.575952912519078
45,0.22383518668705832,0.1520055270569767,18.452001154779673
46,0.22326637411902764,0.15155659062776736,18.393321671171815
47,0.22314279593393474,0.15164339207782002,18.440254177162032
48,0.22279910047254162,0.15147630914956509,18.45302328235375
49,0.22230768034201182,0.15126917988597277,18.36977432730669
50,0.2220965730037518,0.15125019754656774,18.513803225077556
51,0.22172084477490295,0.1511463651846269,18.424034872454797
52,0.22132398250574123,0.15088950061869477,18.334963181775485
53,0.22124291795813394,0.15099520669012012,18.434681127171316
54,0.2207191562402748,0.15081294425233396,18.419331442096276
55,0.220388465834235,0.15074311299416834,18.445217520890836
56,0.22015196174204707,0.1506154957021068,18.43502172024664
57,0.2194676468829195,0.15031045046216712,18.352796571697304
58,0.21943944763994502,0.1504694568718265,18.446532043868196
59,0.21923486754565896,0.15040409297286395,18.416825562893987
60,0.21901181179606272,0.15035940925339739,18.43905134258156
